Nadh is like a battery in a car. It is the molecule that helps create energy in the body.	nadh	Using an analogy, explain nadh to a social science student.
Stars spend most of their lives burning hydrogen in their cores. This process is called fusion. As a star uses up its hydrogen, it begins to use helium. This process is called degeneracy. As a star uses up its helium, it begins to use carbon. This process is called nuclear burning. As a star uses up its carbon, it begins to use oxygen. This process is called photodisintegration. As a star uses up its oxygen, it begins to use silicon. This process is called silicon burning. As a star uses up its silicon, it begins to use iron. This process is called nuclear burning. As a star uses up its iron, it begins to use nickel. This process is called nickel burning. As a star uses up its nickel, it begins to use cobalt. This process is called cobalt burning. As a star uses up its cobalt, it begins to use copper. This process is called copper burning. As a star uses up its copper, it begins to use zinc. This process is called zinc burning. As a star uses up its zinc, it begins to use lead. This process is called lead burning. As a star uses up its lead, it begins to use thorium. This process is called thorium burning. As a star uses up its thorium, it begins to use uranium. This process is called uranium burning. As a star uses up its uranium, it begins to use plutonium. This process is called plutonium burning. As a star uses up its plutonium, it begins to use americium. This process is called americium burning. As a star uses up its americium, it begins to use curium. This process is called curium burning. As a star uses up its curium, it begins to use berkelium. This process is called berkelium burning. As a star uses up its berkelium, it begins to use californium. This process is called californium burning. As a star uses up its californium, it begins to use einsteinium. This process is called einsteinium burning. As a star uses up its einsteinium, it begins to use fermium. This process is called fermium burning. As a star uses up its fermium, it begins to use mendelevium. This process is called mendelevium burning. As a star uses up its mendelevium, it begins to use nobelium. This process is called nobelium burning. As a star uses up its nobelium, it begins to use lawrencium. This process is called lawrencium burning. As a star uses up its lawrencium, it begins to use rutherfordium. This process is called rutherfordium burning. As a star uses up its rutherfordium, it begins to use dubnium. This process is called dubnium burning. As a star uses up its dubnium, it begins to use seaborgium. This process is called seaborgium burning. As a star uses up its seaborgium, it begins to use bohrium. This process is called bohrium burning. As a star uses up its bohrium, it begins to use hassium. This process is called hassium burning. As a star uses up its hassium, it begins to use meitnerium. This process is called meitnerium burning. As a star uses up its meitnerium, it begins to use darmstadtium. This process is called darmstadtium burning. As a star uses up its darmstadtium, it begins to use roentgenium. This process is called roentgenium burning. As a star uses up its roentgenium, it begins to use copernicium. This process is called copernicium burning. As a star uses up its copernicium, it begins to use ununtrium. This process is called ununtrium burning. As a star uses up its ununtrium, it begins to use flerovium. This process is called flerovium burning. As a star uses up its flerovium, it begins to use livermorium. This process is called livermorium burning. As a star uses up its livermorium, it begins to use tennessine. This process is called tennessine burning. As a star uses up its tennessine, it begins to use oganesson. This process is called oganesson burning.	main-sequence lifetimes of stars	Using an analogy, explain main-sequence lifetimes of stars to a social science student.
Nucleus is like the brain of a cell. It is responsible for controlling the cell's activities and for organizing its genetic information.	nucleus	Using an analogy, explain nucleus to a social science student.
Ribosomes are like the factories of the cell. They produce all of the proteins that the cell needs.	ribosomes	Using an analogy, explain ribosomes to a social science student.
The Golgi apparatus is like a postal service. It takes the mail (packages of proteins) from the different parts of the cell and delivers them to the correct destination.	golgi apparatus	Using an analogy, explain golgi apparatus to a social science student.
Lysosomes are like the recycling bins of the cell. They break down old or damaged proteins and molecules, and recycle the components back into the cell to be used again.	lysosomes	Using an analogy, explain lysosomes to a social science student.
The nuclear envelope is like a fence that surrounds the nucleus of a cell. It helps to keep the nucleus and its contents safe and protected.	nuclear envelope	Using an analogy, explain nuclear envelope to a social science student.
A vacuole is like a small room in a house. It is a small, enclosed space that has a door that can be opened and closed.	vacuoles	Using an analogy, explain vacuoles to a social science student.
Cytoplasm is like the water in a fish tank. It surrounds and supports the fish, and provides them with the environment they need to survive. Cytoplasm is also responsible for transporting nutrients and oxygen to the fish, and removing waste products. In the same way, cytoplasm surrounds and supports the cells in our bodies, and provides them with the environment they need to survive. Cytoplasm also transports nutrients and oxygen to the cells, and removes waste products.	cytoplasm	Using an analogy, explain cytoplasm to a social science student.
Chromosomes are like a library. They store all of the information that is needed to create a living being.	chromosome	Using an analogy, explain chromosome to a social science student.
Cytosol is like the water in a fish tank. It surrounds and supports the fish, and provides them with the environment they need to survive. In the same way, cytosol surrounds and supports the cells in our body, and provides them with the environment they need to survive.	cytosol	Using an analogy, explain cytosol to a social science student.
A cell is like a small town. It has a mayor, a police department, a fire department, a grocery store, a bank, and a school. The mayor is the head of the town, the police department keeps the town safe, the fire department puts out fires, the grocery store sells food, the bank loans money, and the school teaches students.	cell	Using an analogy, explain cell to a social science student.
A vesicle is like a small container that can hold things like chemicals or proteins. Vesicles form when the cell membrane pinches off a small piece of the cytoplasm.	vesicles	Using an analogy, explain vesicles to a social science student.
A cell wall is like a fence that surrounds a yard. It helps to keep things in and keep things out. The cell wall is made of a tough material that helps to protect the cell.	cell wall	Using an analogy, explain cell wall to a social science student.
Cells are the basic building blocks of life. Just as a city is made up of many individual buildings, life is made up of many individual cells. Cells are small and simple, but they work together to create complex structures and functions.	cells	Using an analogy, explain cells to a social science student.
The cell membrane can be thought of as a border or boundary. It is the outermost layer of the cell and it separates the inside of the cell from the outside environment. The cell membrane is made up of a lipid bilayer and it is responsible for regulating what enters and leaves the cell.	cell membrane	Using an analogy, explain cell membrane to a social science student.
The Golgi body is like a postal worker. It takes the mail (the proteins) from the mailbox (the endoplasmic reticulum) and delivers it to the correct address (the cell membrane).	golgi body	Using an analogy, explain golgi body to a social science student.
Capacitance is a measure of how much electric charge can be stored on a capacitor. Just as a reservoir can store more water when it is higher up on a mountain, a capacitor can store more electric charge when it is higher up on an electric potential. The capacitance of a capacitor is proportional to the surface area of the plates and inversely proportional to the distance between the plates.	capacitance	Using an analogy, explain capacitance to a social science student.
Electric current is like a river of electricity flowing through a wire. Just as a river can carry boats and other objects downstream, electric current can power devices that use electricity.	electric current	Using an analogy, explain electric current to a social science student.
Voltage is like the pressure of a fluid. Just as water pressure can cause a faucet to spurt out water, voltage can cause an electric current to flow through a wire.	voltage	Using an analogy, explain voltage to a social science student.
A cell is like a small city. It has specialized parts that do different things - like the police department, the fire department, the sanitation department, etc. Each of these parts has a specific job to do and they all need to communicate with each other in order to make the city run smoothly.	specialization and communication in a cell	Using an analogy, explain specialization and communication in a cell to a social science student.
Kirchoff's voltage law states that the sum of the voltages around a closed loop is zero. This law is often used in electrical engineering to calculate the voltage of a circuit. It can also be used to find the current in a circuit, and to determine the resistance of a component.	kirchoff's voltage law	Using an analogy, explain kirchoff's voltage law to a social science student.
A density wave is like a crowd of people at a busy train station. The people are all packed together in one spot, and then they slowly spread out until they are all evenly spaced again.	nature of a density wave	Using an analogy, explain nature of a density wave to a social science student.
Enzymes are like tiny machines that help chemical reactions happen in the body. They are made of proteins and they work by fitting into the spaces around the molecules they are working on. This helps the molecules move around and react with each other.	enzymes	Using an analogy, explain enzymes to a social science student.
The human active memory system can be thought of as a library. The library has many shelves, and each shelf has many books. The books on the shelves are the active memory system. The active memory system is always changing. New books are added to the shelves, and old books are removed from the shelves. The books on the shelves are the active memory system.	human active memory system	Using an analogy, explain human active memory system to a social science student.
The rate-determining step of a reaction is the slowest step in a reaction. This step determines the rate of the reaction.	rate-determining step of a reaction	Using an analogy, explain rate-determining step of a reaction to a social science student.
Column chromatography is a technique used to separate the components of a mixture. The mixture is placed in a column and a solvent is passed through the column. The components of the mixture are separated based on their different rates of movement through the column.	column chromatography	Using an analogy, explain column chromatography to a social science student.
Dynamic chemical equilibrium is like a group of people who are all talking at the same time. The people are all talking and yelling over each other, but eventually they all calm down and start talking in a normal tone of voice. This is similar to how the molecules in a system reach equilibrium, where they all stop reacting and start to exist in a stable state.	dynamic chemical equilibrium	Using an analogy, explain dynamic chemical equilibrium to a social science student.
A vacuole is like a container that can hold different types of liquids. It is a small, round, and clear structure that is found in the cytoplasm of a cell.	vacuole	Using an analogy, explain vacuole to a social science student.
A transport vesicle is like a bus. It transports things (in this case, proteins) from one place to another.	transport vesicles	Using an analogy, explain transport vesicles to a social science student.
Proto-oncogenes are like the "police officers" of the cell. They help to regulate cell growth and division, and keep the cell functioning normally. When a proto-oncogene is mutated, it can "go bad" and start to promote uncontrolled cell growth, leading to cancer.	proto-oncogenes	Using an analogy, explain proto-oncogenes to a social science student.
Oncogenes are like the "bad seeds" of cancer. They are genes that have the potential to cause cancer. Just like a bad seed can grow into a weed that takes over a garden, oncogenes can cause cancer to grow and spread.	oncogenes	Using an analogy, explain oncogenes to a social science student.
Tumor suppressor genes are like the police of the body. They help to keep the cells in check and prevent them from becoming cancerous.	tumor suppressor genes	Using an analogy, explain tumor suppressor genes to a social science student.
Brittle software is like a pencil. It is thin and easily broken.	brittle software	Using an analogy, explain brittle software to a social science student.
Resonance hybrid is a model that helps to explain the bonding in molecules. In a resonance hybrid, the electrons are distributed in such a way that the most stable arrangement is achieved. This is done by combining the best of each of the individual models. In social science, this could be seen as a way to combine the best of each individual's ideas to create a more stable and cohesive whole.	resonance hybrid	Using an analogy, explain resonance hybrid to a social science student.
The wave mechanical model is like a group of people standing in a line. The first person in the line is the wave, and the people behind them are the waves that follow. The waves represent the movement of energy through the system.	wave mechanical model	Using an analogy, explain wave mechanical model to a social science student.
An electroencephalogram (EEG) is a test that measures the electrical activity of your brain. This activity is measured by electrodes that are placed on your scalp.	electroencephalogram	Using an analogy, explain electroencephalogram to a social science student.
DNA replication can be thought of as a photocopier. The DNA molecule is like the original document, and the copies are the photocopies. The DNA molecule is made up of two strands that are twisted together like a ladder. The "rungs" of the ladder are made up of chemicals called nucleotides. The nucleotides are arranged in a specific order, and this order is what makes up the DNA's genetic code. During replication, the two strands of the DNA molecule are separated. One strand is used as a template to create a new strand of DNA. The new strand is made up of the same nucleotides as the original, but they are arranged in a new order.	dna replication	Using an analogy, explain dna replication to a social science student.
RNA transcription is similar to a social science student writing a paper. The student takes information from a variety of sources, organizes it, and writes it down. The RNA molecule does the same thing, but it uses the information from the DNA molecule to create a new molecule.	rna transcription	Using an analogy, explain rna transcription to a social science student.
Protein translation is similar to a group of people coming together to create a document. The people are the proteins and the document is the protein translation. The proteins come together and each one contributes a letter to the document. Once the document is complete, it is read by other proteins who understand the language that it is written in.	protein translation	Using an analogy, explain protein translation to a social science student.
An ecosystem can be thought of as a social group, where the different members of the group interact with each other to produce a collective effect. Just as in a social group, the different members of an ecosystem (e.g. plants, animals, bacteria) interact with each other to produce a collective effect. In an ecosystem, the different members of the group are dependent on each other to survive.	ecosystem	Using an analogy, explain ecosystem to a social science student.
An action potential is a bit like an electric current. It starts at one end of a neuron and travels down the neuron until it reaches the other end. This current is caused by the movement of positively charged ions (like sodium and potassium) in and out of the neuron.	propagation of an action potential down a neuron	Using an analogy, explain propagation of an action potential down a neuron to a social science student.
Breathing is the process of exchanging gases between the environment and the body's tissues. In frogs, the process of breathing is done through the skin. The frog's skin is thin and moist, which allows oxygen and carbon dioxide to pass through easily. The frog's lungs are used for gas exchange when the frog is in water. When the frog is out of water, it relies on its skin to breathe.	breathing mechanism of frogs	Using an analogy, explain breathing mechanism of frogs to a social science student.
Layered architecture is a way of organizing computer systems in which each layer represents a different type of system function. The lowest layer, which is closest to the hardware, is the foundation on which the higher layers are built. The higher layers provide more abstract services that are used by the applications that run on the system.	layered architecture	Using an analogy, explain layered architecture to a social science student.
A limiting reactant is a reactant that is used up first in a chemical reaction. An excess reactant is a reactant that is not used up in a chemical reaction.	limiting reactant and excess reactant	Using an analogy, explain limiting reactant and excess reactant to a social science student.
A eukaryotic cell is like a large company. It has many different parts that work together to keep the company running. The nucleus is the CEO, and the mitochondria are the workers. The cytoplasm is the office space, and the cell membrane is the security guard.	eukaryotic cell	Using an analogy, explain eukaryotic cell to a social science student.
A prokaryotic cell is like a small town. It has a mayor (the nucleus), citizens (the organelles), and a governing body (the cytoskeleton). The mayor is responsible for the well-being of the citizens and the governing body is responsible for ensuring that the town functions properly.	prokaryotic cell	Using an analogy, explain prokaryotic cell to a social science student.
The kernel is the most important part of an operating system. It is responsible for managing the system's resources and ensuring that all the other parts of the system work together. It is like the brain of the system, coordinating all the different parts.	operating systems kernel	Using an analogy, explain operating systems kernel to a social science student.
A limiting reactant is a substance that limits the amount of a chemical reaction that can take place. In social science, a limiting reactant can be thought of as a constraint on human behavior. For example, a person's income may be a limiting reactant to their ability to purchase goods and services.	limiting reactant	Using an analogy, explain limiting reactant to a social science student.
Helicase is a protein that helps to unwind DNA so that it can be copied. It is like a machine that helps to uncoil a ball of string.	helicase	Using an analogy, explain helicase to a social science student.
DNA replication binding proteins are like the police officers of the DNA replication process. They help to ensure that the replication process goes smoothly and that all the necessary components are present. They also help to keep the DNA replication process organized and on track.	dna replication binding proteins	Using an analogy, explain dna replication binding proteins to a social science student.
Ligase is a protein that helps to join two DNA strands together. It is similar to a social science student, who helps to join two people together.	ligase	Using an analogy, explain ligase to a social science student.
A process control block is like a traffic light. It helps to regulate the flow of traffic and keep things moving smoothly. In the same way, a process control block helps to regulate the flow of data and keep things moving smoothly in a computer system.	process control block	Using an analogy, explain process control block to a social science student.
Message encoding is the process of transforming a message into a format that can be transmitted. This may involve translating the message into a code that can be sent over a communication channel, such as a telephone line or the internet.	message encoding	Using an analogy, explain message encoding to a social science student.
Drugs and receptor sites interact in a way that is similar to how people interact in social situations. Just as people can have different personalities and behave differently in social situations, drugs can have different effects on the body depending on how they interact with receptor sites. Some drugs may fit perfectly into receptor sites, causing a strong reaction, while others may not fit as well, causing a weaker reaction. Just as people can interact with each other in different ways, drugs can interact with receptor sites in different ways.	interaction between drugs and receptor sites	Using an analogy, explain interaction between drugs and receptor sites to a social science student.
A monitor is like a television. It is a device that people use to watch moving images.	monitor	Using an analogy, explain monitor to a social science student.
The CPU is like the brain of the computer. It processes all the information that is sent to it.	cpu	Using an analogy, explain cpu to a social science student.
A motherboard is like the skeleton of a human. It is the main frame that everything else is attached to. In the same way, a motherboard is the main frame of a computer. It holds all of the essential components and allows them to communicate with each other.	motherboard	Using an analogy, explain motherboard to a social science student.
Ram is a type of computer memory that is used to store data temporarily. It is much faster than traditional hard drives, but it is also more expensive.	ram	Using an analogy, explain ram to a social science student.
A power supply unit is like a gas tank in a car. It is a container that stores a resource that can be used to power something else. In a car, the gas tank stores gasoline, which is used to power the engine. In a computer, the power supply unit stores electricity, which is used to power the computer.	power supply unit	Using an analogy, explain power supply unit to a social science student.
A keyboard is a tool that is used to input text into a computer.	keyboard	Using an analogy, explain keyboard to a social science student.
Mouse is a small, rodent-like creature that is common in many parts of the world. It is known for its ability to move quickly and for its love of cheese.	mouse	Using an analogy, explain mouse to a social science student.
An audio card is like a driver's license. It is a piece of identification that proves that you are who you say you are.	audio card	Using an analogy, explain audio card to a social science student.
A video card is like a translator between your computer's processor and the images on your monitor. Your computer's processor is like your brain, it understands numbers and letters. The images on your monitor are like pictures, they are made up of tiny dots called pixels. Your video card takes the numbers and letters that your computer's processor understands and turns them into pictures that your monitor can understand.	video card	Using an analogy, explain video card to a social science student.
The tree's age calculation is like when a baby is born, the doctors calculate how old the baby is by adding up the number of weeks and days the baby has been alive. The tree's age calculation is the same way, they add up the number of years, months, and days the tree has been alive.	tree's age calculation	Using an analogy, explain tree's age calculation to a social science student.
Glycolysis is the process of breaking down glucose into two molecules of pyruvate. This process occurs in the cytoplasm of the cell and does not require oxygen.	glycolysis	Using an analogy, explain glycolysis to a social science student.
Anti-stokes scattering is similar to the scattering of light by a raindrop. In both cases, the scattering is caused by the interaction of light with small objects. In the case of light scattering by a raindrop, the scattering is caused by the interaction of light with the water droplets. In the case of anti-stokes scattering, the scattering is caused by the interaction of light with the atoms in the gas.	anti-stokes scattering	Using an analogy, explain anti-stokes scattering to a social science student.
Stokes scattering is the scattering of light by small particles in a medium. The light is scattered in all directions and the intensity of the scattered light decreases with the distance from the particle. This is similar to how people scatter in a crowd. The people are scattered in all directions and the intensity of the scattered people decreases with the distance from the people.	stokes scattering	Using an analogy, explain stokes scattering to a social science student.
The median lethal dose is the dose of a substance that is expected to kill half of the people who take it. It is often used as a measure of the toxicity of a substance.	median lethal dose	Using an analogy, explain median lethal dose to a social science student.
The universe can be thought of as a vast social network. Just as people are connected to one another through various social ties, the universe is connected through various physical ties. Just as people interact with one another to create social networks, the universe interacts with itself to create physical networks. Just as social networks can be studied to understand human behavior, physical networks can be studied to understand the behavior of the universe.	universe	Using an analogy, explain universe to a social science student.
Enzyme mechanism can be explained using the analogy of a lock and key. The enzyme is the lock and the substrate is the key. The substrate fits into the enzyme like a key fits into a lock. The enzyme and the substrate are then able to interact and the enzyme can convert the substrate into a product.	enzyme mechanism	Using an analogy, explain enzyme mechanism to a social science student.
Anova is a statistical technique used to test the difference between the means of two or more groups. It is similar to the t-test, but can be used with more than two groups.	anova	Using an analogy, explain anova to a social science student.
A thermostat is a device that regulates the temperature of a room or building by turning on or off the heating or cooling system.	thermostat	Using an analogy, explain thermostat to a social science student.
Chemical equilibrium is a state in which the rates of the forward and reverse reactions are equal. This means that the concentrations of the reactants and products do not change over time.	chemical equilibrium	Using an analogy, explain chemical equilibrium to a social science student.
Just-in-time is a business model that aims to reduce waste by only producing what is needed, when it is needed. This is done by having a close relationship with suppliers and only ordering what is needed for the next production run.	just-in-time	Using an analogy, explain just-in-time to a social science student.
Adaptive immunity can be thought of as a social science student’s ability to learn and grow from experience. Just as the student learns from their mistakes and grows as a result, the immune system also adapts and becomes stronger in the face of challenges. This ability to learn and grow is what makes the immune system so powerful – it can continually adapt and improve in order to protect the body from harm.	adaptive immunity	Using an analogy, explain adaptive immunity to a social science student.
Ohm's law is a law that states that the current through a conductor is directly proportional to the potential difference across the conductor. In other words, the higher the voltage, the more current will flow. This law is important in social science because it helps to understand how people respond to different types of stimuli. For example, if a person is exposed to a lot of negative stimuli, they may become overwhelmed and have a higher chance of developing a mental illness.	ohm's law	Using an analogy, explain ohm's law to a social science student.
Transcription is the process of copying a text from one form to another. In the context of genetics, it is the process of copying the genetic information from DNA to RNA.	transcription	Using an analogy, explain transcription to a social science student.
RNA polymerase is like a secretary. It takes dictation from a boss (the DNA) and produces a typed copy (the RNA).	rna polymerase	Using an analogy, explain rna polymerase to a social science student.
Ribosomes are like the factories of the cell. They produce all of the proteins that the cell needs to function.	ribosome	Using an analogy, explain ribosome to a social science student.
Activator protein is like a key that unlocks the door to a room. The activator protein binds to a specific site on the DNA molecule and then recruits other proteins that help to open the door.	activator protein	Using an analogy, explain activator protein to a social science student.
An electric circuit is like a group of people who are all connected to each other. If one person in the group talks, the whole group hears them. If one person in the group turns on a light, the whole group sees the light.	electric circuit	Using an analogy, explain electric circuit to a social science student.
The hydrophobic effect is the tendency of nonpolar molecules to aggregate in an aqueous environment. This is because the polar water molecules interact more strongly with one another than with the nonpolar molecules. This interaction causes the nonpolar molecules to be pushed to the periphery of the water droplet, where they are less likely to interact with the water.	hydrophobic effect	Using an analogy, explain hydrophobic effect to a social science student.
Biological signal transduction can be thought of as a social science student trying to understand a foreign language. The student is trying to understand the meaning of the words and how they are used in conversation. In the same way, biological signal transduction is the process of understanding the meaning of the signals that are being sent and received by the cells in the body.	biological signal transduction	Using an analogy, explain biological signal transduction to a social science student.
